Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
100,Nueva Esperanza 2,-,Loreto,Loreto,Urarinas,-4.289966361,-75.23299117,No,126,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
101,Nueva Esperanza 3,-,Loreto,Loreto,Urarinas,-4.284029218,-75.24100976,No,126,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
102,Nueva Esperanza 4,-,Loreto,Loreto,Urarinas,-4.27957211,-75.25969847,No,129,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
103,Nueva Esperanza 5,-,Loreto,Loreto,Urarinas,-4.279539909,-75.27419814,No,136,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
104,Nueva Esperanza 6,-,Loreto,Loreto,Urarinas,-4.278341607,-75.28550725,No,136,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
105,Nueva Esperanza 7,-,Loreto,Loreto,Urarinas,-4.264613155,-75.24661783,No,136,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
106,San Jorge 1,-,Loreto,Loreto,Urarinas,-3.907917152,-75.66290501,No,158,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
107,San Jorge 2,-,Loreto,Loreto,Urarinas,-3.930723798,-75.66169799,No,158,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
108,San Jorge 3,-,Loreto,Loreto,Urarinas,-3.96126295,-75.66306428,No,156,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
109,San Jorge 4,-,Loreto,Loreto,Urarinas,-3.977299085,-75.76050332,No,165,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
110,Nueva Angora 1,-,Loreto,Loreto,Urarinas,-4.352799688,-75.34140315,No,136,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
111,Nueva Angora 2,-,Loreto,Loreto,Urarinas,-4.362301639,-75.33476521,No,134,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
112,Nueva Angora 3,-,Loreto,Loreto,Urarinas,-4.376067287,-75.32172993,No,139,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
113,Nueva Angora 4,-,Loreto,Loreto,Urarinas,-4.020879248,-75.31435059,No,146,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
114,Pucayacu 1,-,Loreto,Loreto,Urarinas,-4.239358464,-75.23448079,No,129,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
115,Pucayacu 2,-,Loreto,Loreto,Urarinas,-4.23416239,-75.24494111,No,136,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
116,Pucayacu 3,-,Loreto,Loreto,Urarinas,-4.231697412,-75.25806044,No,131,-,-,"MORALES CHOCANO, Daniel. 1992. Chambira: Alfareros tempranos de la Amazonía. Pp. 149-172. Estudios de Arqueología Peruana. Lima, Perú. // MORALES CHOCANO, Daniel. 1998. Chambira: Una cultura de sabana árida en la Amazonía peruana. pp. 61-75. Investigaciones Sociales, Año 2, N° 2. Lima, Perú."
117,Tres Fronteras,-,Loreto,Loreto,Urarinas,-4.466373135,-75.14302402,No,126,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
118,Santa Cruz de Tagual,-,Loreto,Loreto,Urarinas,-4.391193396,-75.32143898,No,129,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
119,Santa Rosa de Aerico,-,Loreto,Loreto,Urarinas,-4.273362073,-74.93470171,No,114,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
120,Santa Cruz 1,S.A. 01,Loreto,Loreto,Urarinas,-4.148820816,-75.45652407,Yes,137,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú."
121,Santa Cruz 2,S.A. 02,Loreto,Loreto,Urarinas,-4.144551359,-75.45562964,Yes,140,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú."
122,Santa Cruz 3,S.A. 03,Loreto,Loreto,Urarinas,-4.138741618,-75.45883381,Yes,127,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
123,Santa Rosa del Chambira 1,S.A. 04,Loreto,Loreto,Urarinas,-4.082804809,-75.53491989,Yes,153,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
124,Santa Rosa del Chambira 2,S.A. 05,Loreto,Loreto,Urarinas,-4.077634441,-75.55535788,Yes,147,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
125,28 de Julio del Chambira,S.A. 07,Loreto,Loreto,Urarinas,-4.230595781,-75.36520992,Yes,134,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
126,Nueva Alianza,-,Loreto,Loreto,Urarinas,-4.453947465,-74.97827677,No,110,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
127,Urituyacu - Linea 4,URI-1,Loreto,Loreto,Urarinas,-4.141754823,-76.01455018,No,163,135,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
128,Montículo,URI-2,Loreto,Loreto,Urarinas,-4.141399964,-76.01363958,No,164,146,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
129,Cachuela Solimar,URI-3,Loreto,Loreto,Urarinas,-4.190886127,-75.97924228,No,153,140,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
130,Zapallar,URI-4,Loreto,Loreto,Urarinas,-4.164521683,-75.99823668,No,154,-,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
131,Helipuerto Bell 212,URI-5A,Loreto,Loreto,Urarinas,-4.228455883,-75.93224873,No,147,100,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
132,Helipuerto MI-17,URI-5B,Loreto,Loreto,Urarinas,-4.228239157,-75.93194213,No,145,102,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
133,Helipuerto de Recarga,URI-6,Loreto,Loreto,Urarinas,-4.227616462,-75.93073406,No,141,110,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
134,San Juan de Abejaico,URI-7,Loreto,Loreto,Urarinas,-4.227858569,-75.93250029,No,149,-,-,"RAVINES, Rogger. 1998. Cerámica antigua del río Urituyacu, Provincia y Departamento de Loreto. Pp. 49-70. Boletín de Lima N° 112. Lima, Perú."
135,Achual Tipishca (Hua 80-1),Hua 80-1,Loreto,Alto Amazonas,Lagunas,-5.449636057,-75.8168782,No,126,-,-,"MYERS, Thomas. 1984/85. Archaeological evidence from Achual Tipishca, Lower Huallaga River, Perú. Pp. 211-224. Ñawpa Pacha. Institute of Andean Studies. Nº 22-23. Berkeley, California. USA."
136,Yarinal (Hua 80-2),Hua 80-2,Loreto,Alto Amazonas,Lagunas,-5.448410946,-75.8329705,No,129,-,-,"MYERS, Thomas. 1984/85. Archaeological evidence from Achual Tipishca, Lower Huallaga River, Perú. Pp. 211-224. Ñawpa Pacha. Institute of Andean Studies. Nº 22-23. Berkeley, California. USA."
137,Hua 80-3,Hua 80-3,Loreto,Alto Amazonas,Lagunas,-5.458172997,-75.81841522,No,130,-,-,"MYERS, Thomas. 1984/85. Archaeological evidence from Achual Tipishca, Lower Huallaga River, Perú. Pp. 211-224. Ñawpa Pacha. Instituto de Estudios Andinos. Nº 22-23. Berkeley, California. USA."
138,Cocha Paranapura,-,Loreto,Alto Amazonas,Yurimaguas,-5.894433288,-76.1878045,Yes,150,-,-,"RIVAS PANDURO, Santiago. 2016. Informe N° 072-2016/AA/MC-DDC-LOR/SRP. 8 pp. Informe donde se reporta el hallazgo de dos sitios arqueológicos en la cuenca del río Paranapura (Cocha Paranapura, Cocha Paranapura 2), en el marco de la inspección de campo al proyecto “Plan de Monitoreo Arqueológico Mejoramiento y Rehabilitación de la Carretera Yurimaguas – Munichis (Hasta el puente Yanayacu. L=10.20 km), Provincia de Alto Amazonas, Departamento de Loreto”, ubicado en el Distrito de Yurimaguas, Provincia Alto Amazonas, Departamento de Loreto, a cargo de la Lic. Zoraida Villafuerte Cáceres."
139,Cocha Paranapura 2,-,Loreto,Alto Amazonas,Yurimaguas,-5.897057723,-76.15263799,Yes,136,-,-,"RIVAS PANDURO, Santiago. 2016. Informe N° 072-2016/AA/MC-DDC-LOR/SRP. 8 pp. Informe donde se reporta el hallazgo de dos sitios arqueológicos en la cuenca del río Paranapura (Cocha Paranapura, Cocha Paranapura 2), en el marco de la inspección de campo al proyecto “Plan de Monitoreo Arqueológico Mejoramiento y Rehabilitación de la Carretera Yurimaguas – Munichis (Hasta el puente Yanayacu. L=10.20 km), Provincia de Alto Amazonas, Departamento de Loreto”, ubicado en el Distrito de Yurimaguas, Provincia Alto Amazonas, Departamento de Loreto, a cargo de la Lic. Zoraida Villafuerte Cáceres."
140,Munichis,LO-CACHI-28,Loreto,Alto Amazonas,Yurimaguas,-5.893475635,-76.233126,No,145,-,-,"JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del proyecto de evaluación arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
141,"AA Balsapuerto 1 (Sectores A,B,C,D,E,F,G) / Sector D o Santa Rosa",LO-CACHI-01 / ARQ 01-A,Loreto,Alto Amazonas,Balsapuerto,-5.829042356,-76.55856985,No,204,208,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú. // JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del proyecto de evaluación arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
142,"AA Balsapuerto 2, o San Jorge",LO-CACHI-02 / ARQ-02A,Loreto,Alto Amazonas,Balsapuerto,-5.841302807,-76.56253178,No,193,218,-,"RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú. // JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del proyecto de evaluación arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
143,AA Balsapuerto 3,LO-CACHI-03,Loreto,Alto Amazonas,Balsapuerto,-5.843601207,-76.56200538,No,202,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú."
144,AA Balsapuerto 4,LO-CACHI-04,Loreto,Alto Amazonas,Balsapuerto,-5.831431402,-76.55141573,No,199,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú."
145,"AA Nuevo Pintuyacu, o Pintuyacu",LO-CACHI-05,Loreto,Alto Amazonas,Balsapuerto,-5.818149672,-76.54387558,No,204,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú. // JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del Proyecto de Evaluación Arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
146,AA Nuevo Junín,LO-CACHI-06,Loreto,Alto Amazonas,Balsapuerto,-5.796487289,-76.54536062,No,204,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú. // JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del Proyecto de Evaluación Arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
147,"AA Nuevo Barranquita, o Montículo Barranquita",LO-CACHI-07,Loreto,Alto Amazonas,Balsapuerto,-5.802456227,-76.52854585,No,186,-,-,"RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2003. Los asentamientos prehispánicos de la cuenca del río Cachiyacu, Amazonía peruana. 142 pp. Instituto Cultural Runa. Lima, Perú. // JORDÁN BEJARANO, Carlos Francisco. 2006. Informe del Proyecto de Evaluación Arqueológica en el área del Convenio N° 009-2004-FIP entre el Fondo Ítalo Peruano y la Municipalidad de Balsapuerto, Departamento de Loreto, “Proyecto Mejoramiento de Ganado de doble propósito en el Distrito de Balsapuerto”. 44 pp. Presentado al Instituto Nacional de Cultura. Lima, Perú."
148,AA Laguna del Cachiyacu Colorado,,Loreto,Alto Amazonas,Balsapuerto,-5.900653821,-76.72136549,No,741,750,-,"RIVAS PANDURO, Santiago 2019. Reported by Santiago Rivas Panduro based on description of La Laguna (Field Museum 2014: 84), analyses of photographs from Corine Vriesendorp y Álvaro del Campo, and interpretion of satellite images from  Google Earth, 2019."
149,RP Shapajilla 2,LO-CACHI-08,Loreto,Alto Amazonas,Balsapuerto,-5.867733763,-76.55346639,No,242,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
150,RP Shapajilla 1,,Loreto,Alto Amazonas,Balsapuerto,-5.865923171,-76.55416576,Yes,245,-,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
151,RP Casa de Cumpanamá (también es RTL),LO-CACHI-09,Loreto,Alto Amazonas,Balsapuerto,-5.874040762,-76.52244548,No,340,323,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú.  // ECHEVARRÍA LÓPEZ, Gori Tumi. 2006.  Petrograbados en la cuenca del río Cachiyacu. Una aproximación arqueológica en contexto industrial. 15 pp. En Rupestreweb, http://www.rupestreweb.info/cachiyacu.html"
152,RP Cocina de Cumpanamá (también es RTL),LO-CACHI-10,Loreto,Alto Amazonas,Balsapuerto,-5.874041623,-76.52212941,No,344,324,-,"RIVAS PANDURO, Santiago. 1999. Investigaciones arqueológicas en el Distrito de Balsapuerto: el enigma de los petroglifos de Balsapuerto. 45 pp. Informe presentado a la Municipalidad Distrital de Balsapuerto. Lima, Perú. // RIVAS PANDURO, Santiago. 2000. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 107 pp. Informe presentado a la Dra. Ruth Shady Solís, Asesora del proyecto de investigación, del curso Prácticas Pre Profesionales II, Universidad Nacional Mayor de San Marcos. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2001. Prospección Arqueológica en la cuenca del río Cachiyacu, Balsapuerto, Loreto. 80 pp. Informe presentado al Instituto Nacional de Cultura. Iquitos, Perú."
